AnnoS;CorsoTIPO;SESSO;Lau
2023;Corso di Laurea - vecchio ordinamento;M;105
2023;Laurea - dm 270/04;F;120410
2023;Laurea Magistrale - dm 270/04;F;76489
2023;Laurea Specialistica - dm 509/99;M;35
2023;Laurea Magistrale a Ciclo Unico - dm 270/04;F;23630
2023;Laurea  - dm 509/99;F;364
2023;Laurea - dm 270/04;M;93110
2023;Laurea Magistrale a Ciclo Unico - dm 270/04;M;12467
2023;Laurea Specialistica a Ciclo Unico - dm 509/99;F;200
2023;Laurea Magistrale - dm 270/04;M;58496
2023;Corso di Laurea - vecchio ordinamento;F;267
2023;Laurea Specialistica - dm 509/99;F;42
2023;Laurea  - dm 509/99;M;226
2023;Laurea Specialistica a Ciclo Unico - dm 509/99;M;111
2022;Laurea Magistrale - dm 270/04;M;55492
2022;Laurea  - dm 509/99;M;373
2022;Laurea Specialistica - dm 509/99;F;62
2022;Corso di Laurea - vecchio ordinamento;M;181
2022;Laurea Magistrale a Ciclo Unico - dm 270/04;F;24428
2022;Laurea Specialistica a Ciclo Unico - dm 509/99;M;152
2022;Laurea - dm 270/04;M;87346
2022;Laurea Specialistica - dm 509/99;M;42
2022;Laurea  - dm 509/99;F;482
2022;Corso di Laurea - vecchio ordinamento;F;380
2022;Laurea - dm 270/04;F;113049
2022;Laurea Specialistica a Ciclo Unico - dm 509/99;F;246
2022;Laurea Magistrale - dm 270/04;F;71262
2022;Laurea Magistrale a Ciclo Unico - dm 270/04;M;13110
2021;Laurea  - dm 509/99;M;615
2021;Laurea Magistrale a Ciclo Unico - dm 270/04;F;25576
2021;Laurea Magistrale - dm 270/04;M;54918
2021;Laurea Specialistica - dm 509/99;F;100
2021;Laurea Magistrale - dm 270/04;F;67707
2021;Laurea Specialistica a Ciclo Unico - dm 509/99;F;402
2021;Corso di Laurea - vecchio ordinamento;M;256
2021;Laurea - dm 270/04;F;118256
2021;Corso di Laurea - vecchio ordinamento;F;464
2021;Laurea  - dm 509/99;F;782
2021;Laurea Specialistica a Ciclo Unico - dm 509/99;M;242
2021;Laurea Magistrale a Ciclo Unico - dm 270/04;M;13948
2021;Laurea Specialistica - dm 509/99;M;83
2021;Laurea - dm 270/04;M;90002
2020;Corso di Laurea - vecchio ordinamento;F;580
2020;Laurea  - dm 509/99;F;911
2020;Laurea - dm 270/04;F;111086
2020;Laurea Specialistica a Ciclo Unico - dm 509/99;F;599
2020;Laurea Magistrale a Ciclo Unico - dm 270/04;M;14312
2020;Laurea Magistrale - dm 270/04;F;61238
2020;Laurea Specialistica - dm 509/99;M;134
2020;Laurea  - dm 509/99;M;846
2020;Laurea Magistrale a Ciclo Unico - dm 270/04;F;25504
2020;Laurea Magistrale - dm 270/04;M;50050
2020;Laurea - dm 270/04;M;87241
2020;Laurea Specialistica a Ciclo Unico - dm 509/99;M;362
2020;Corso di Laurea - vecchio ordinamento;M;322
2020;Laurea Specialistica - dm 509/99;F;134
2019;Laurea Magistrale a Ciclo Unico - dm 270/04;M;14260
2019;Laurea Magistrale - dm 270/04;F;58103
2019;Corso di Laurea - vecchio ordinamento;M;389
2019;Laurea - dm 270/04;M;84179
2019;Laurea Specialistica - dm 509/99;M;260
2019;Laurea - dm 270/04;F;108321
2019;Laurea  - dm 509/99;M;1370
2019;Corso di Laurea - vecchio ordinamento;F;852
2019;Laurea Specialistica a Ciclo Unico - dm 509/99;M;502
2019;Laurea Specialistica a Ciclo Unico - dm 509/99;F;808
2019;Laurea Specialistica - dm 509/99;F;178
2019;Laurea Magistrale - dm 270/04;M;47814
2019;Laurea Magistrale a Ciclo Unico - dm 270/04;F;24957
2019;Laurea  - dm 509/99;F;1462
2018;Laurea Specialistica - dm 509/99;F;279
2018;Laurea - dm 270/04;M;78533
2018;Corso di Laurea - vecchio ordinamento;M;491
2018;Laurea - dm 270/04;F;103480
2018;Laurea Magistrale - dm 270/04;M;44238
2018;Laurea  - dm 509/99;M;1908
2018;Laurea Specialistica - dm 509/99;M;478
2018;Corso di Laurea - vecchio ordinamento;F;1026
2018;Laurea Magistrale a Ciclo Unico - dm 270/04;M;14488
2018;Laurea Specialistica a Ciclo Unico - dm 509/99;F;1253
2018;Laurea  - dm 509/99;F;2095
2018;Laurea Magistrale a Ciclo Unico - dm 270/04;F;24683
2018;Laurea Specialistica a Ciclo Unico - dm 509/99;M;794
2018;Laurea Magistrale - dm 270/04;F;54027
2017;Laurea - dm 270/04;M;74035
2017;Laurea Specialistica a Ciclo Unico - dm 509/99;F;1807
2017;Laurea Magistrale - dm 270/04;M;41274
2017;Laurea  - dm 509/99;F;3411
2017;Laurea Specialistica - dm 509/99;F;394
2017;Laurea Magistrale a Ciclo Unico - dm 270/04;F;23584
2017;Laurea Specialistica a Ciclo Unico - dm 509/99;M;1164
2017;Laurea Specialistica - dm 509/99;M;481
2017;Laurea Magistrale a Ciclo Unico - dm 270/04;M;13991
2017;Corso di Laurea - vecchio ordinamento;F;1445
2017;Laurea - dm 270/04;F;99921
2017;Corso di Laurea - vecchio ordinamento;M;659
2017;Laurea Magistrale - dm 270/04;F;52762
2017;Laurea  - dm 509/99;M;3035
2016;Laurea Specialistica a Ciclo Unico - dm 509/99;M;1923
2016;Corso di Laurea - vecchio ordinamento;F;2413
2016;Laurea Magistrale a Ciclo Unico - dm 270/04;M;12966
2016;Laurea Magistrale - dm 270/04;F;51304
2016;Laurea Specialistica a Ciclo Unico - dm 509/99;F;2978
2016;Laurea  - dm 509/99;F;5498
2016;Laurea Magistrale a Ciclo Unico - dm 270/04;F;20830
2016;Laurea Specialistica - dm 509/99;M;655
2016;Laurea - dm 270/04;M;70568
2016;Laurea Magistrale - dm 270/04;M;39479
2016;Laurea - dm 270/04;F;96604
2016;Laurea  - dm 509/99;M;4972
2016;Corso di Laurea - vecchio ordinamento;M;815
2016;Laurea Specialistica - dm 509/99;F;607
2015;Laurea Magistrale - dm 270/04;F;49442
2015;Laurea  - dm 509/99;M;8100
2015;Laurea Specialistica a Ciclo Unico - dm 509/99;M;3177
2015;Corso di Laurea - vecchio ordinamento;F;4275
2015;Laurea Magistrale a Ciclo Unico - dm 270/04;M;10684
2015;Corso di Laurea - vecchio ordinamento;M;1125
2015;Laurea Specialistica - dm 509/99;F;1028
2015;Laurea Magistrale - dm 270/04;M;37434
2015;Laurea Magistrale a Ciclo Unico - dm 270/04;F;16244
2015;Laurea - dm 270/04;F;92089
2015;Laurea - dm 270/04;M;65343
2015;Laurea Specialistica a Ciclo Unico - dm 509/99;F;5138
2015;Laurea  - dm 509/99;F;9625
2015;Laurea Specialistica - dm 509/99;M;1137
2014;Laurea Magistrale - dm 270/04;M;35847
2014;Corso di Laurea - vecchio ordinamento;M;1590
2014;Laurea  - dm 509/99;M;15703
2014;Laurea - dm 270/04;F;83471
2014;Laurea Specialistica - dm 509/99;M;2048
2014;Laurea Magistrale - dm 270/04;F;48671
2014;Laurea Magistrale a Ciclo Unico - dm 270/04;F;12801
2014;Laurea Specialistica a Ciclo Unico - dm 509/99;M;4459
2014;Corso di Laurea - vecchio ordinamento;F;7080
2014;Laurea Magistrale a Ciclo Unico - dm 270/04;M;8547
2014;Laurea - dm 270/04;M;57806
2014;Laurea Specialistica - dm 509/99;F;2073
2014;Laurea Specialistica a Ciclo Unico - dm 509/99;F;7525
2014;Laurea  - dm 509/99;F;20389
2013;Laurea - dm 270/04;M;44039
2013;Laurea  - dm 509/99;F;41226
2013;Laurea Magistrale a Ciclo Unico - dm 270/04;F;10912
2013;Laurea Magistrale - dm 270/04;M;32972
2013;Laurea Specialistica a Ciclo Unico - dm 509/99;F;8577
2013;Laurea Magistrale - dm 270/04;F;45263
2013;Laurea Specialistica a Ciclo Unico - dm 509/99;M;5277
2013;Corso di Laurea - vecchio ordinamento;M;2156
2013;Laurea Specialistica - dm 509/99;M;4819
2013;Laurea  - dm 509/99;M;29200
2013;Laurea Specialistica - dm 509/99;F;5188
2013;Corso di Laurea - vecchio ordinamento;F;7449
2013;Laurea Magistrale a Ciclo Unico - dm 270/04;M;7501
2013;Laurea - dm 270/04;F;63277
2012;Laurea Specialistica a Ciclo Unico - dm 509/99;M;5311
2012;Laurea Magistrale a Ciclo Unico - dm 270/04;M;6890
2012;Laurea  - dm 509/99;F;60289
2012;Laurea Magistrale - dm 270/04;F;37098
2012;Laurea - dm 270/04;M;27868
2012;Laurea Magistrale a Ciclo Unico - dm 270/04;F;9198
2012;Laurea Specialistica a Ciclo Unico - dm 509/99;F;8639
2012;Corso di Laurea - vecchio ordinamento;F;8843
2012;Laurea Specialistica - dm 509/99;F;13352
2012;Laurea  - dm 509/99;M;43172
2012;Laurea Specialistica - dm 509/99;M;12717
2012;Corso di Laurea - vecchio ordinamento;M;3061
2012;Laurea - dm 270/04;F;41328
2012;Laurea Magistrale - dm 270/04;M;24707
2011;Laurea Specialistica - dm 509/99;F;27508
2011;Corso di Laurea - vecchio ordinamento;M;4524
2011;Laurea Magistrale a Ciclo Unico - dm 270/04;M;5704
2011;Laurea Magistrale - dm 270/04;M;13474
2011;Laurea - dm 270/04;F;15824
2011;Laurea Specialistica - dm 509/99;M;23429
2011;Laurea Specialistica a Ciclo Unico - dm 509/99;M;5140
2011;Corso di Laurea - vecchio ordinamento;F;11034
2011;Laurea  - dm 509/99;M;59028
2011;Laurea Specialistica a Ciclo Unico - dm 509/99;F;8327
2011;Laurea - dm 270/04;M;10598
2011;Laurea Magistrale a Ciclo Unico - dm 270/04;F;7584
2011;Laurea  - dm 509/99;F;82768
2011;Laurea Magistrale - dm 270/04;F;21736
2010;Laurea Magistrale a Ciclo Unico - dm 270/04;F;5460
2010;Laurea  - dm 509/99;F;92674
2010;Laurea Specialistica - dm 509/99;M;30784
2010;Laurea - dm 270/04;F;2733
2010;Laurea Magistrale - dm 270/04;F;5599
2010;Corso di Laurea - vecchio ordinamento;M;6181
2010;Corso di Laurea - vecchio ordinamento;F;12098
2010;Laurea Specialistica a Ciclo Unico - dm 509/99;F;8875
2010;Laurea  - dm 509/99;M;66311
2010;Laurea Specialistica - dm 509/99;F;40559
2010;Laurea Magistrale a Ciclo Unico - dm 270/04;M;3465
2010;Laurea Magistrale - dm 270/04;M;3691
2010;Laurea Specialistica a Ciclo Unico - dm 509/99;M;5027
2010;Laurea - dm 270/04;M;2438
2009;Laurea  - dm 509/99;F;97423
2009;Laurea Magistrale - dm 270/04;M;285
2009;Laurea - dm 270/04;M;503
2009;Laurea Magistrale a Ciclo Unico - dm 270/04;F;3633
2009;Corso di Laurea - vecchio ordinamento;M;10216
2009;Laurea Specialistica a Ciclo Unico - dm 509/99;F;7259
2009;Laurea Magistrale - dm 270/04;F;223
2009;Laurea Magistrale a Ciclo Unico - dm 270/04;M;2319
2009;Corso di Laurea - vecchio ordinamento;F;17799
2009;Laurea  - dm 509/99;M;73104
2009;Laurea - dm 270/04;F;574
2009;Laurea Specialistica a Ciclo Unico - dm 509/99;M;4020
2009;Laurea Specialistica - dm 509/99;F;43022
2009;Laurea Specialistica - dm 509/99;M;32430
2008;Corso di Laurea - vecchio ordinamento;F;25209
2008;Laurea  - dm 509/99;M;74890
2008;Laurea Specialistica a Ciclo Unico - dm 509/99;M;3788
2008;Laurea Specialistica - dm 509/99;F;37828
2008;Laurea Magistrale a Ciclo Unico - dm 270/04;M;1117
2008;Laurea Specialistica a Ciclo Unico - dm 509/99;F;6975
2008;Laurea Magistrale - dm 270/04;F;3
2008;Laurea Magistrale a Ciclo Unico - dm 270/04;F;1748
2008;Corso di Laurea - vecchio ordinamento;M;15881
2008;Laurea Specialistica - dm 509/99;M;29374
2008;Laurea  - dm 509/99;F;98164
2007;Laurea Specialistica a Ciclo Unico - dm 509/99;M;3279
2007;Laurea  - dm 509/99;F;99468
2007;Laurea  - dm 509/99;M;74200
2007;Corso di Laurea - vecchio ordinamento;F;39339
2007;Laurea Specialistica - dm 509/99;F;28586
2007;Corso di Laurea - vecchio ordinamento;M;24970
2007;Laurea Magistrale a Ciclo Unico - dm 270/04;M;204
2007;Laurea Specialistica - dm 509/99;M;23364
2007;Laurea Specialistica a Ciclo Unico - dm 509/99;F;6423
2007;Laurea Magistrale a Ciclo Unico - dm 270/04;F;298
2006;Laurea  - dm 509/99;F;92512
2006;Laurea Specialistica a Ciclo Unico - dm 509/99;F;5467
2006;Laurea Specialistica - dm 509/99;M;14793
2006;Laurea Specialistica a Ciclo Unico - dm 509/99;M;2891
2006;Corso di Laurea - vecchio ordinamento;M;41489
2006;Corso di Laurea - vecchio ordinamento;F;59399
2006;Laurea  - dm 509/99;M;68933
2006;Laurea Specialistica - dm 509/99;F;15892
2005;Laurea Specialistica a Ciclo Unico - dm 509/99;M;2481
2005;Laurea  - dm 509/99;F;78125
2005;Laurea Specialistica - dm 509/99;M;5725
2005;Corso di Laurea - vecchio ordinamento;M;60481
2005;Laurea Specialistica a Ciclo Unico - dm 509/99;F;4484
2005;Laurea Specialistica - dm 509/99;F;5619
2005;Laurea  - dm 509/99;M;60182
2005;Corso di Laurea - vecchio ordinamento;F;84201
2004;Laurea Specialistica - dm 509/99;F;1723
2004;Corso di Laurea - vecchio ordinamento;M;68622
2004;Laurea Specialistica a Ciclo Unico - dm 509/99;F;4241
2004;Laurea Specialistica - dm 509/99;M;3213
2004;Laurea  - dm 509/99;M;39919
2004;Laurea  - dm 509/99;F;52385
2004;Corso di Laurea - vecchio ordinamento;F;96349
2004;Laurea Specialistica a Ciclo Unico - dm 509/99;M;2369
2003;Laurea Specialistica a Ciclo Unico - dm 509/99;F;3413
2003;Laurea  - dm 509/99;F;27836
2003;Laurea Specialistica - dm 509/99;F;666
2003;Corso di Laurea - vecchio ordinamento;F;99669
2003;Laurea  - dm 509/99;M;25245
2003;Laurea Specialistica a Ciclo Unico - dm 509/99;M;1908
2003;Corso di Laurea - vecchio ordinamento;M;73393
2003;Laurea Specialistica - dm 509/99;M;2809
2002;Laurea  - dm 509/99;F;11419
2002;Laurea Specialistica a Ciclo Unico - dm 509/99;M;196
2002;Laurea  - dm 509/99;M;10885
2002;Corso di Laurea - vecchio ordinamento;F;101062
2002;Laurea Specialistica - dm 509/99;M;128
2002;Laurea Specialistica a Ciclo Unico - dm 509/99;F;507
2002;Corso di Laurea - vecchio ordinamento;M;76836
2002;Laurea Specialistica - dm 509/99;F;85
2001;Corso di Laurea - vecchio ordinamento;M;73913
2001;Corso di Laurea - vecchio ordinamento;F;96619
2001;Laurea  - dm 509/99;M;705
2001;Laurea Specialistica - dm 509/99;M;5
2001;Laurea  - dm 509/99;F;562
2001;Laurea Specialistica - dm 509/99;F;2
